,title,view_num,url,tokenized_title,detokenized_title
48,The Perfect Position to Finish a Fight and an Easy But Powerful Choke,4700.0,https://www.youtube.com/watch?v=Mn_c_oaxXCA,"['perfect', 'position', 'to', 'finish', 'fight', 'easy', 'powerful', 'choke']",perfect position to finish fight easy powerful choke
102,Finish the Triangle Choke On Any Body Type With This Tip From Chad Hardy,4700.0,https://www.youtube.com/watch?v=RkRhoJcLKh8,"['finish', 'triangle', 'choke', 'on', 'body', 'type', 'tip', 'from', 'chad', 'hardy']",finish triangle choke on body type tip from chad hardy
81,Today We Go HIGH Flying (the Flying Triangle choke),4600.0,https://www.youtube.com/watch?v=WJdHiNPlRLY,"['today', 'go', 'high', 'fly', '(', 'fly', 'triangle', 'choke', ')']",today go high fly ( fly triangle choke )
228,Fast BJJ Gi Choke Off Of The Sprawl,4400.0,https://www.youtube.com/watch?v=k_0OLa6QNpQ,"['fast', 'bjj', 'gi', 'choke', 'sprawl']",fast bjj gi choke sprawl
37,Save Your Wrist on the Darce Choke and How the Anaconda Choke is Different,3300.0,https://www.youtube.com/watch?v=2FwrOrzR3kk,"['save', 'wrist', 'on', 'darce', 'choke', 'anaconda', 'choke', 'different']",save wrist on darce choke anaconda choke different
215,Get more taps with the BJJ triangle Choke using this!,2800.0,https://www.youtube.com/watch?v=dYRNtqp4hik,"['get', 'tap', 'bjj', 'triangle', 'choke', 'use', '!']",get tap bjj triangle choke use !
54,Attacking With Your Opponents Lapel to Secure a Vicious Choke,2700.0,https://www.youtube.com/watch?v=7-QmqpW5yhE,"['attack', 'opponents', 'lapel', 'to', 'secure', 'vicious', 'choke']",attack opponents lapel to secure vicious choke
36,A Better Way to Set Up This Sneaky Choke (25 thousand Subscribers!),2000.0,https://www.youtube.com/watch?v=5_lRIv7JN98,"['better', 'way', 'to', 'set', 'up', 'sneaky', 'choke', '(', '25', 'thousand', 'subscribers', '!', ')']",better way to set up sneaky choke ( 25 thousand subscribers ! )
12,Sneaky BJJ Choke Variations to Get You More Taps!,1900.0,https://www.youtube.com/watch?v=zrZPFZSnXPc,"['sneaky', 'bjj', 'choke', 'variations', 'to', 'get', 'tap', '!']",sneaky bjj choke variations to get tap !
5,Hitting The Baseball Bat Choke In The Gi and Without It,1600.0,https://www.youtube.com/watch?v=ZpuEFeY3VpA,"['hit', 'baseball', 'bat', 'choke', 'in', 'gi', 'without']",hit baseball bat choke in gi without
266,NASTY BJJ Gi Choke!,855.0,https://www.youtube.com/watch?v=UWx-SGYy820,"['nasty', 'bjj', 'gi', 'choke', '!']",nasty bjj gi choke !
246,Tips For Finishing Submissions From Back Mount and CRUSHING Gi Choke,569.0,https://www.youtube.com/watch?v=7SvanXy2i-w,"['tip', 'finish', 'submissions', 'from', 'back', 'mount', 'crush', 'gi', 'choke']",tip finish submissions from back mount crush gi choke
392,2 Basic BJJ Chokes that Are Effective in Competition or a Fight,350000.0,https://www.youtube.com/watch?v=LOCafQOfeWQ,"['2', 'basic', 'bjj', 'choke', 'effective', 'in', 'competition', 'fight']",2 basic bjj choke effective in competition fight
853,Scissor Sweep White Belt Triangle Choke Setup,190000.0,https://www.youtube.com/watch?v=1oZSl5lJd1M,"['scissor', 'sweep', 'white', 'belt', 'triangle', 'choke', 'setup']",scissor sweep white belt triangle choke setup
760,Stealthy Grip To Setup Baseball Choke From Side Control,120000.0,https://www.youtube.com/watch?v=zoVcUtK-uh4,"['stealthy', 'grip', 'to', 'setup', 'baseball', 'choke', 'from', 'side', 'control']",stealthy grip to setup baseball choke from side control
866,No Gi Triangle Choke From Closed Guard,110000.0,https://www.youtube.com/watch?v=9pjdpFCr4UI,"['gi', 'triangle', 'choke', 'from', 'close', 'guard']",gi triangle choke from close guard
175,Loop Chokes Please! (Basics on How the BJJ Loop Choke Works),100000.0,https://www.youtube.com/watch?v=SNASDxyjcAA,"['loop', 'choke', 'please', '!', '(', 'basics', 'on', 'bjj', 'loop', 'choke', 'work', ')']",loop choke please ! ( basics on bjj loop choke work )
264,"Hanging, Rolling and Choking with 2018 World Champ Mahamed Aly",95000.0,https://www.youtube.com/watch?v=fhTFotTa2Nk,"['hang', ',', 'roll', 'choke', '2018', 'world', 'champ', 'mahamed', 'aly']","hang , roll choke 2018 world champ mahamed aly"
909,Triangle Choke Defense and Escape,86000.0,https://www.youtube.com/watch?v=1-CwlXlu2bE,"['triangle', 'choke', 'defense', 'escape']",triangle choke defense escape
767,Standing Guillotine Choke Defense With 2 Takedowns,69000.0,https://www.youtube.com/watch?v=8TsrMk-cwHs,"['stand', 'guillotine', 'choke', 'defense', '2', 'takedowns']",stand guillotine choke defense 2 takedowns
508,Simple Guillotine Choke Tips for 10 Year Old BJJ Competitor,62000.0,https://www.youtube.com/watch?v=9qGz0slFD_0,"['simple', 'guillotine', 'choke', 'tip', '10', 'year', 'old', 'bjj', 'competitor']",simple guillotine choke tip 10 year old bjj competitor
477,How to Finish North South Choke (And Common Mistakes to Avoid),59000.0,https://www.youtube.com/watch?v=fyqluZ0CAXI,"['to', 'finish', 'north', 'south', 'choke', '(', 'common', 'mistake', 'to', 'avoid', ')']",to finish north south choke ( common mistake to avoid )
624,Effective Rear Naked Choke Finish (Hide The Kill Grip),59000.0,https://www.youtube.com/watch?v=xVdg4Mi1W8w,"['effective', 'rear', 'naked', 'choke', 'finish', '(', 'hide', 'kill', 'grip', ')']",effective rear naked choke finish ( hide kill grip )
741,Blast Through The Guillotine Choke With A Double Leg Takedown,42000.0,https://www.youtube.com/watch?v=_bPn_lLysW4,"['blast', 'through', 'guillotine', 'choke', 'double', 'leg', 'takedown']",blast through guillotine choke double leg takedown
686,Don't Get Slammed When Finishing a Triangle Choke,39000.0,https://www.youtube.com/watch?v=5ngxJOvUWOA,"[""n't"", 'get', 'slam', 'finish', 'triangle', 'choke']",n't get slam finish triangle choke
483,Do People Escape Your Back Mount ? Use this BJJ Choke Setup,33000.0,https://www.youtube.com/watch?v=5hSB7vd61Dk,"['people', 'escape', 'back', 'mount', '?', 'use', 'bjj', 'choke', 'setup']",people escape back mount ? use bjj choke setup
